event_date,month,year,day,date_description,name,city,country,kind,latitude,longitude,part_of_the_world
,8,2016,**,Aug-16,Longford Marathon,Longfort,Ireland,M/H,53.727556,-7.793108,
,8,2016,**,Aug-16,BII Maybank Bali Marathon,Bali,Indonesia,M/H/R,-8.409517,115.188916,
4 Sep 2016,9,2016,4,Sep-16,Medio Maraton Atlas de Guadalajara,Guadalajara,Mexico,H,20.659698,-103.349609,
28 Aug 2016,8,2016,28,Aug-16,DaNang International Marathon,Da Nang City,Vietnam,M/H/R,16.054406,108.202166,
3 Sep 2016,9,2016,3,Sep-16,Petra Desert Marathon,Petra,Jordan,M/H,30.329001,35.444664,
10 Sep 2016,9,2016,10,Sep-16,Stockholm Half Marathon,Stockholm,Sweden,H,59.329323,18.06858,
11 Sep 2016,9,2016,11,Sep-16,31st Wizz Air Budapest Half Marathon,Budapest,Hungary,H,47.497912,19.040234,
11 Sep 2016,9,2016,11,Sep-16,Ladakh Marathon & Half & 10km & 71km Ultra,Leh,India,M/H/R/U,34.152586,77.577053,
11 Sep 2016,9,2016,11,Sep-16,SEB Tallinn Marathon & Half,Tallinn,Estonia,M,59.43696,24.753574,
11 Sep 2016,9,2016,11,Sep-16,Danske Bank Vilnius Marathon,Vilnius,Lithuania,M,54.687155,25.279651,
12 Sep 2016,9,2016,12,Sep-16,1/2 Maratona Del Concilio Citta Di Trento,Trento,Italy,H,46.074779,11.121748,
17 Sep 2016,9,2016,17,Sep-16,Tamarindo Beach Marathon,Tamarind Beach,Costa Rica,M/H/R,10.299274,-85.837105,
17 Sep 2016,9,2016,17,Sep-16,Danske Bank Oslo Marathon,Oslo,Norway,M/H/R,59.913868,10.752245,
17 Sep 2016,9,2016,17,Sep-16,Scottish Half Marathon,Meadowmill,Scotland,H,55.953599,-2.957962,
18 Sep 2016,9,2016,18,Sep-16,PNB MetLife Satara Hill Half Marathon,Satara,India,H/R,17.680463,74.01826,
18 Sep 2016,9,2016,18,Sep-16,WACHAUMarathon,Emmersdorf,Austria,M/H/R,48.240715,15.33682,
18 Sep 2016,9,2016,18,Sep-16,Porto Half Marathon Sport Zone,Porto,Portugal,H,41.157943,-8.629105,
18 Sep 2016,9,2016,18,Sep-16,Maratonina Citta Di Udine,Udine,Italy,H,46.071066,13.234579,
18 Sep 2016,9,2016,18,Sep-16,Dam Tot Damloop,Amsterdam,Netherlands,R,52.370215,4.895167,
18 Sep 2016,9,2016,18,Sep-16,Copenhagen Half Marathon,Copenhagen,Denmark,H,55.676096,12.568337,
18 Sep 2016,9,2016,18,Sep-16,Blackmores Sydney Running Festival incl. Sydney Marathon,Sydney,Australia,M,-33.867486,151.20699,
25 Sep 2016,9,2016,25,Sep-16,Medio Maraton Internacional Tlajomulco Cajititlan,Tlajomulco,Mexico,H,20.473686,-103.447931,
,9,2016,**,Sep-16,Knarvikmila - The Great Fjord Run,Bergen,Norway,M/H/R,60.391262,5.322054,
